step,loss,probe_accuracy,timestamp
130000,1.429616,,2026-01-01T14:15:33.307828
130000,1.429616,0.9333,2026-01-01T14:15:33.571529
130500,1.402922,,2026-01-01T14:17:54.468478
131000,1.378000,,2026-01-01T14:20:14.341292
131000,1.378000,0.9333,2026-01-01T14:20:14.609580
131500,1.362549,,2026-01-01T14:22:36.060643
132000,1.403734,,2026-01-01T14:24:55.651519
132000,1.403734,0.9333,2026-01-01T14:24:55.904606
132500,1.304646,,2026-01-01T14:27:17.003518
133000,1.376880,,2026-01-01T14:29:36.543759
133000,1.376880,0.9333,2026-01-01T14:29:36.800603
133500,1.367410,,2026-01-01T14:31:58.180664
134000,1.359130,,2026-01-01T14:34:17.951382
134000,1.359130,0.9333,2026-01-01T14:34:18.198776
134500,1.325693,,2026-01-01T14:36:38.931843
135000,1.383546,,2026-01-01T14:38:58.555075
135000,1.383546,0.9333,2026-01-01T14:38:58.810728
135500,1.470631,,2026-01-01T14:41:19.764602
136000,1.374094,,2026-01-01T14:43:38.943911
136000,1.374094,0.9333,2026-01-01T14:43:39.191413
136500,1.359240,,2026-01-01T14:46:00.523375
137000,1.327446,,2026-01-01T14:48:20.172129
137000,1.327446,0.9333,2026-01-01T14:48:20.412602
137500,1.383006,,2026-01-01T14:50:41.751783
138000,1.268837,,2026-01-01T14:53:01.709541
138000,1.268837,0.9333,2026-01-01T14:53:01.969936
138500,1.283196,,2026-01-01T14:55:23.281202
139000,1.382087,,2026-01-01T14:57:42.971030
139000,1.382087,0.8667,2026-01-01T14:57:43.211921
139500,1.360162,,2026-01-01T15:00:04.519121
140000,1.304021,,2026-01-01T15:02:24.484689
140000,1.304021,0.9333,2026-01-01T15:02:24.832590
140500,1.391300,,2026-01-01T15:04:46.534047
141000,1.327818,,2026-01-01T15:07:06.489821
141000,1.327818,0.9333,2026-01-01T15:07:06.774355
141500,1.332289,,2026-01-01T15:09:28.481542
142000,1.296539,,2026-01-01T15:11:48.437175
142000,1.296539,0.8667,2026-01-01T15:11:48.699929
142500,1.354526,,2026-01-01T15:14:10.348202
143000,1.297705,,2026-01-01T15:16:30.308630
143000,1.297705,0.9333,2026-01-01T15:16:30.573733
143500,1.307564,,2026-01-01T15:18:52.219857
144000,1.399439,,2026-01-01T15:21:12.173816
144000,1.399439,0.9333,2026-01-01T15:21:12.431577
144500,1.290098,,2026-01-01T15:23:33.949317
145000,1.496495,,2026-01-01T15:25:53.908845
145000,1.496495,0.9333,2026-01-01T15:25:54.173000
145500,1.303703,,2026-01-01T15:28:15.821768
146000,1.311122,,2026-01-01T15:30:35.777891
146000,1.311122,0.9333,2026-01-01T15:30:36.042866
146500,1.419943,,2026-01-01T15:32:57.753636
147000,1.339543,,2026-01-01T15:35:17.709090
147000,1.339543,0.8667,2026-01-01T15:35:17.986382
147500,1.396139,,2026-01-01T15:37:39.705163
148000,1.429232,,2026-01-01T15:39:59.659428
148000,1.429232,0.9333,2026-01-01T15:39:59.933218
148500,1.337891,,2026-01-01T15:42:21.715060
149000,1.216793,,2026-01-01T15:44:41.672780
149000,1.216793,0.9333,2026-01-01T15:44:41.938935
149500,1.309964,,2026-01-01T15:47:03.448910
150000,1.288438,,2026-01-01T15:49:23.401603
150000,1.288438,0.9333,2026-01-01T15:49:23.670958
150500,1.344772,,2026-01-01T15:51:45.095318
151000,1.176700,,2026-01-01T15:54:05.060055
151000,1.176700,0.9333,2026-01-01T15:54:05.326327
151500,1.308700,,2026-01-01T15:56:26.968867
152000,1.254916,,2026-01-01T15:58:46.919251
152000,1.254916,0.9333,2026-01-01T15:58:47.165890
152500,1.199599,,2026-01-01T16:01:08.698621
153000,1.260009,,2026-01-01T16:03:28.656391
153000,1.260009,0.9333,2026-01-01T16:03:28.923285
153500,1.273284,,2026-01-01T16:05:50.570821
154000,1.315412,,2026-01-01T16:08:10.527671
154000,1.315412,0.9333,2026-01-01T16:08:10.800005
154500,1.231643,,2026-01-01T16:10:32.443936
155000,1.268527,,2026-01-01T16:12:52.398338
155000,1.268527,0.9333,2026-01-01T16:12:52.671662
155500,1.241734,,2026-01-01T16:15:14.455634
156000,1.348847,,2026-01-01T16:17:34.413653
156000,1.348847,0.9333,2026-01-01T16:17:34.691929
156500,1.284856,,2026-01-01T16:19:56.412758
157000,1.252347,,2026-01-01T16:22:16.365924
157000,1.252347,0.9333,2026-01-01T16:22:16.628004
157500,1.318739,,2026-01-01T16:24:38.282989
158000,1.278681,,2026-01-01T16:26:58.240854
158000,1.278681,0.9333,2026-01-01T16:26:58.516504
158500,1.300736,,2026-01-01T16:29:20.216704
159000,1.314760,,2026-01-01T16:31:40.174378
159000,1.314760,0.8667,2026-01-01T16:31:40.456955
159500,1.250856,,2026-01-01T16:34:02.229874
160000,1.250582,,2026-01-01T16:36:22.183152
160000,1.250582,0.8667,2026-01-01T16:36:22.453855
160500,1.260556,,2026-01-01T16:38:44.101659
161000,1.288872,,2026-01-01T16:41:04.055929
161000,1.288872,0.9333,2026-01-01T16:41:04.331021
161500,1.299409,,2026-01-01T16:43:26.119820
162000,1.234650,,2026-01-01T16:45:46.067358
162000,1.234650,0.9333,2026-01-01T16:45:46.327784
162500,1.284911,,2026-01-01T16:48:07.984178
163000,1.227765,,2026-01-01T16:50:27.941320
163000,1.227765,0.9333,2026-01-01T16:50:28.206322
163500,1.338201,,2026-01-01T16:52:49.856879
164000,1.354435,,2026-01-01T16:55:09.817890
164000,1.354435,0.9333,2026-01-01T16:55:10.174437
164500,1.216445,,2026-01-01T16:57:31.808176
165000,1.205935,,2026-01-01T16:59:51.764162
165000,1.205935,0.9333,2026-01-01T16:59:52.035507
165500,1.292125,,2026-01-01T17:02:13.878704
166000,1.224762,,2026-01-01T17:04:33.834270
166000,1.224762,0.9333,2026-01-01T17:04:34.112704
166500,1.259573,,2026-01-01T17:06:55.889152
167000,1.248321,,2026-01-01T17:09:15.846677
167000,1.248321,0.9333,2026-01-01T17:09:16.113300
167500,1.317809,,2026-01-01T17:11:37.983197
168000,1.305059,,2026-01-01T17:13:57.937454
168000,1.305059,0.9333,2026-01-01T17:13:58.193711
168500,1.272013,,2026-01-01T17:16:19.852926
169000,1.269941,,2026-01-01T17:18:39.815462
169000,1.269941,0.8667,2026-01-01T17:18:40.084099
169500,1.253682,,2026-01-01T17:21:01.729001
170000,1.301059,,2026-01-01T17:23:21.683015
170000,1.301059,0.9333,2026-01-01T17:23:21.946818
170500,1.297650,,2026-01-01T17:25:43.597552
171000,1.185113,,2026-01-01T17:28:03.551949
171000,1.185113,0.9333,2026-01-01T17:28:03.810422
171500,1.239087,,2026-01-01T17:30:25.532309
172000,1.263139,,2026-01-01T17:32:45.485585
172000,1.263139,0.9333,2026-01-01T17:32:45.746605
172500,1.297296,,2026-01-01T17:35:07.405410
173000,1.186181,,2026-01-01T17:37:27.358833
173000,1.186181,0.9333,2026-01-01T17:37:27.630657
173500,1.237349,,2026-01-01T17:39:49.496311
174000,1.241905,,2026-01-01T17:42:09.449610
174000,1.241905,0.9333,2026-01-01T17:42:09.724969
174500,1.309216,,2026-01-01T17:44:31.424600
175000,1.213961,,2026-01-01T17:46:51.398936
175000,1.213961,0.9333,2026-01-01T17:46:51.762583
175500,1.193608,,2026-01-01T17:49:13.575472
176000,1.201286,,2026-01-01T17:51:33.534916
