step,loss,probe_accuracy,timestamp
138000,3.843035,,2026-01-01T14:58:45.213755
138000,3.843035,0.8667,2026-01-01T14:58:45.475937
138500,3.899553,,2026-01-01T15:01:07.239952
139000,3.866621,,2026-01-01T15:03:29.065546
139000,3.866621,0.8667,2026-01-01T15:03:29.322922
139500,3.830334,,2026-01-01T15:05:53.412860
140000,3.830926,,2026-01-01T15:08:15.955170
140000,3.830926,0.8667,2026-01-01T15:08:16.221809
140500,3.847490,,2026-01-01T15:10:40.261381
141000,3.808891,,2026-01-01T15:13:02.876024
141000,3.808891,0.8667,2026-01-01T15:13:03.140303
141500,3.813496,,2026-01-01T15:15:27.475562
142000,3.860670,,2026-01-01T15:17:49.977744
142000,3.860670,0.8667,2026-01-01T15:17:50.236038
142500,3.878186,,2026-01-01T15:20:14.141752
143000,3.778538,,2026-01-01T15:22:36.808891
143000,3.778538,0.8667,2026-01-01T15:22:37.073736
143500,3.840078,,2026-01-01T15:25:01.519932
144000,3.846856,,2026-01-01T15:27:23.948283
144000,3.846856,0.8667,2026-01-01T15:27:24.231608
144500,3.809176,,2026-01-01T15:29:48.853120
145000,3.780559,,2026-01-01T15:32:11.909305
145000,3.780559,0.8667,2026-01-01T15:32:12.247346
145500,3.816454,,2026-01-01T15:34:37.165996
146000,3.861171,,2026-01-01T15:37:00.303289
146000,3.861171,0.8000,2026-01-01T15:37:00.566671
146500,3.809544,,2026-01-01T15:39:25.327841
147000,3.839608,,2026-01-01T15:41:48.153023
147000,3.839608,0.8667,2026-01-01T15:41:48.425814
147500,3.893179,,2026-01-01T15:44:12.250775
148000,3.833441,,2026-01-01T15:46:33.682321
148000,3.833441,0.8667,2026-01-01T15:46:33.943047
148500,3.707645,,2026-01-01T15:48:58.121001
149000,3.807715,,2026-01-01T15:51:20.107971
149000,3.807715,0.8667,2026-01-01T15:51:20.361781
149500,3.628996,,2026-01-01T15:53:43.345586
150000,3.760782,,2026-01-01T15:56:03.428097
150000,3.760782,0.8667,2026-01-01T15:56:03.707100
150500,3.763398,,2026-01-01T15:58:25.480365
151000,3.773000,,2026-01-01T16:00:45.590803
151000,3.773000,0.9333,2026-01-01T16:00:45.865291
151500,3.766968,,2026-01-01T16:03:08.408354
152000,3.726963,,2026-01-01T16:05:28.581780
152000,3.726963,0.8667,2026-01-01T16:05:28.833027
152500,3.696651,,2026-01-01T16:07:51.108793
153000,3.736316,,2026-01-01T16:10:12.231963
153000,3.736316,0.8667,2026-01-01T16:10:12.493489
153500,3.662313,,2026-01-01T16:12:36.721495
154000,3.728174,,2026-01-01T16:14:58.965381
154000,3.728174,0.8667,2026-01-01T16:14:59.247374
154500,3.692964,,2026-01-01T16:17:23.768436
155000,3.711947,,2026-01-01T16:19:46.481628
155000,3.711947,0.8667,2026-01-01T16:19:46.734150
155500,3.700296,,2026-01-01T16:22:09.625904
156000,3.704024,,2026-01-01T16:24:32.868534
156000,3.704024,0.8667,2026-01-01T16:24:33.145319
156500,3.796353,,2026-01-01T16:26:58.283500
157000,3.739911,,2026-01-01T16:29:21.810304
157000,3.739911,0.8667,2026-01-01T16:29:22.144057
157500,3.732521,,2026-01-01T16:31:46.812443
158000,3.771966,,2026-01-01T16:34:10.748845
158000,3.771966,0.8667,2026-01-01T16:34:11.034509
158500,3.705817,,2026-01-01T16:36:36.154041
159000,3.698921,,2026-01-01T16:38:59.555381
159000,3.698921,0.8667,2026-01-01T16:38:59.826473
159500,3.689243,,2026-01-01T16:41:24.933933
160000,3.719539,,2026-01-01T16:43:48.163825
160000,3.719539,0.8667,2026-01-01T16:43:48.446848
160500,3.762873,,2026-01-01T16:46:13.572824
161000,3.795143,,2026-01-01T16:48:37.044275
161000,3.795143,0.8667,2026-01-01T16:48:37.387215
161500,3.730259,,2026-01-01T16:51:03.000954
162000,3.734364,,2026-01-01T16:53:26.149043
162000,3.734364,0.8000,2026-01-01T16:53:26.419519
162500,3.667012,,2026-01-01T16:55:50.359381
163000,3.713826,,2026-01-01T16:58:13.844737
163000,3.713826,0.8000,2026-01-01T16:58:14.114702
163500,3.719683,,2026-01-01T17:00:38.970005
164000,3.771179,,2026-01-01T17:03:01.368938
164000,3.771179,0.8000,2026-01-01T17:03:01.641786
164500,3.787655,,2026-01-01T17:05:25.419242
165000,3.703467,,2026-01-01T17:07:47.630809
165000,3.703467,0.8000,2026-01-01T17:07:47.903664
165500,3.814499,,2026-01-01T17:10:11.792015
166000,3.711699,,2026-01-01T17:12:33.888605
166000,3.711699,0.8000,2026-01-01T17:12:34.160773
166500,3.715186,,2026-01-01T17:14:58.362155
167000,3.751920,,2026-01-01T17:17:20.774951
167000,3.751920,0.8000,2026-01-01T17:17:21.048773
167500,3.717790,,2026-01-01T17:19:45.663350
168000,3.643834,,2026-01-01T17:22:08.909434
168000,3.643834,0.8000,2026-01-01T17:22:09.181902
168500,3.748183,,2026-01-01T17:24:34.560086
169000,3.762759,,2026-01-01T17:26:58.395399
169000,3.762759,0.8000,2026-01-01T17:26:58.664615
169500,3.688470,,2026-01-01T17:29:24.281089
170000,3.722490,,2026-01-01T17:31:48.017266
170000,3.722490,0.8667,2026-01-01T17:31:48.285091
170500,3.685701,,2026-01-01T17:34:14.659549
171000,3.637899,,2026-01-01T17:36:39.509337
171000,3.637899,0.8667,2026-01-01T17:36:39.771651
171500,3.656870,,2026-01-01T17:39:05.623955
172000,3.703617,,2026-01-01T17:41:30.155590
172000,3.703617,0.8667,2026-01-01T17:41:30.414913
172500,3.632625,,2026-01-01T17:43:56.120058
173000,3.621773,,2026-01-01T17:46:20.617969
173000,3.621773,0.8667,2026-01-01T17:46:20.893951
173500,3.700321,,2026-01-01T17:48:47.138291
174000,3.743712,,2026-01-01T17:51:10.706168
174000,3.743712,0.8667,2026-01-01T17:51:10.971408
174500,3.697829,,2026-01-01T17:53:36.667873
175000,3.700901,,2026-01-01T17:56:01.238977
175000,3.700901,0.8667,2026-01-01T17:56:01.521741
175500,3.689271,,2026-01-01T17:58:28.268626
176000,3.677529,,2026-01-01T18:00:53.096979
