step,loss,ppl,grammar_acc,grammar_lr,timestamp
170000,4.266138,71.25,1.0000,2.0777,2026-01-01T14:58:15.952134
170500,4.277410,72.05,,,2026-01-01T15:01:20.348369
171000,4.336072,76.41,,,2026-01-01T15:04:19.161241
171000,4.336072,76.41,1.0000,2.4055,2026-01-01T15:04:19.283114
171500,4.190744,66.07,,,2026-01-01T15:07:23.008373
172000,4.222964,68.24,,,2026-01-01T15:10:22.086334
172000,4.222964,68.24,1.0000,2.7795,2026-01-01T15:10:22.211288
172500,3.512644,33.54,,,2026-01-01T15:13:27.800086
173000,4.364942,78.64,,,2026-01-01T15:16:26.480635
173000,4.364942,78.64,1.0000,2.1678,2026-01-01T15:16:26.589827
173500,3.155301,23.46,,,2026-01-01T15:19:30.689768
174000,4.299630,73.67,,,2026-01-01T15:22:29.571987
174000,4.299630,73.67,1.0000,2.2669,2026-01-01T15:22:29.677257
174500,4.314000,74.74,,,2026-01-01T15:25:34.676389
175000,4.271509,71.63,,,2026-01-01T15:28:33.522279
175000,4.271509,71.63,1.0000,2.6103,2026-01-01T15:28:33.644319
175500,4.441326,84.89,,,2026-01-01T15:31:38.070629
176000,4.177734,65.22,,,2026-01-01T15:34:36.840052
176000,4.177734,65.22,1.0000,2.7963,2026-01-01T15:34:36.945707
176500,4.186109,65.77,,,2026-01-01T15:37:41.139182
177000,4.263073,71.03,,,2026-01-01T15:40:39.919386
177000,4.263073,71.03,1.0000,2.5215,2026-01-01T15:40:40.031343
177500,4.437565,84.57,,,2026-01-01T15:43:44.545326
178000,4.235115,69.07,,,2026-01-01T15:46:43.534957
178000,4.235115,69.07,1.0000,1.4967,2026-01-01T15:46:43.653650
178500,4.376245,79.54,,,2026-01-01T15:49:47.698399
179000,4.094697,60.02,,,2026-01-01T15:52:46.365188
179000,4.094697,60.02,1.0000,2.6250,2026-01-01T15:52:46.495910
179500,4.275219,71.90,,,2026-01-01T15:55:51.050889
180000,3.972722,53.13,,,2026-01-01T15:58:50.083918
180000,3.972722,53.13,1.0000,2.3204,2026-01-01T15:58:50.190660
180500,4.105622,60.68,,,2026-01-01T16:01:55.606488
181000,4.205706,67.07,,,2026-01-01T16:04:54.350207
181000,4.205706,67.07,1.0000,2.4109,2026-01-01T16:04:54.471612
181500,3.989374,54.02,,,2026-01-01T16:07:58.590240
182000,4.189434,65.99,,,2026-01-01T16:10:57.407850
182000,4.189434,65.99,1.0000,2.5638,2026-01-01T16:10:57.536032
182500,4.201886,66.81,,,2026-01-01T16:14:01.642440
183000,4.267026,71.31,,,2026-01-01T16:17:00.366301
183000,4.267026,71.31,1.0000,1.9270,2026-01-01T16:17:00.475940
183500,4.195199,66.37,,,2026-01-01T16:20:04.506414
184000,4.445312,85.23,,,2026-01-01T16:23:03.311894
184000,4.445312,85.23,1.0000,3.5864,2026-01-01T16:23:03.413753
184500,4.145831,63.17,,,2026-01-01T16:26:07.956833
185000,4.136847,62.61,,,2026-01-01T16:29:06.823834
185000,4.136847,62.61,1.0000,2.4263,2026-01-01T16:29:06.943057
185500,4.341288,76.81,,,2026-01-01T16:32:11.474307
186000,4.353078,77.72,,,2026-01-01T16:35:10.264558
186000,4.353078,77.72,1.0000,2.5609,2026-01-01T16:35:10.388664
186500,4.226530,68.48,,,2026-01-01T16:38:14.897188
187000,3.638401,38.03,,,2026-01-01T16:41:13.686172
187000,3.638401,38.03,1.0000,3.0580,2026-01-01T16:41:13.809930
187500,4.433461,84.22,,,2026-01-01T16:44:17.763405
188000,3.987035,53.89,,,2026-01-01T16:47:16.599238
188000,3.987035,53.89,1.0000,2.4859,2026-01-01T16:47:16.732764
188500,3.909634,49.88,,,2026-01-01T16:50:21.196199
189000,4.140899,62.86,,,2026-01-01T16:53:19.989848
189000,4.140899,62.86,1.0000,2.2786,2026-01-01T16:53:20.091104
189500,4.159680,64.05,,,2026-01-01T16:56:23.943155
190000,4.260134,70.82,,,2026-01-01T16:59:22.801893
190000,4.260134,70.82,1.0000,2.1060,2026-01-01T16:59:22.925128
190500,4.258611,70.71,,,2026-01-01T17:02:27.348134
191000,4.212158,67.50,,,2026-01-01T17:05:26.228289
191000,4.212158,67.50,1.0000,2.3258,2026-01-01T17:05:26.332509
191500,4.107957,60.82,,,2026-01-01T17:08:29.922418
192000,4.130792,62.23,,,2026-01-01T17:11:28.863471
192000,4.130792,62.23,0.8000,2.5058,2026-01-01T17:11:29.003196
192500,4.153096,63.63,,,2026-01-01T17:14:33.610886
193000,4.182517,65.53,,,2026-01-01T17:17:32.590500
193000,4.182517,65.53,0.8000,1.7752,2026-01-01T17:17:32.719901
193500,4.049651,57.38,,,2026-01-01T17:20:36.649904
194000,3.798990,44.66,,,2026-01-01T17:23:35.505214
194000,3.798990,44.66,0.8000,2.3837,2026-01-01T17:23:35.611650
194500,4.155232,63.77,,,2026-01-01T17:26:39.782264
195000,4.201779,66.81,,,2026-01-01T17:29:38.679078
195000,4.201779,66.81,0.6000,2.1253,2026-01-01T17:29:38.792044
195500,3.885251,48.68,,,2026-01-01T17:32:42.861694
196000,4.283478,72.49,,,2026-01-01T17:35:41.665365
196000,4.283478,72.49,0.8000,2.9719,2026-01-01T17:35:41.781841
196500,4.070097,58.56,,,2026-01-01T17:38:46.250820
197000,4.269310,71.47,,,2026-01-01T17:41:45.155339
197000,4.269310,71.47,0.8000,2.0798,2026-01-01T17:41:45.278647
197500,4.222578,68.21,,,2026-01-01T17:44:49.666398
198000,4.205789,67.07,,,2026-01-01T17:47:48.669761
198000,4.205789,67.07,1.0000,2.8227,2026-01-01T17:47:48.791209
198500,4.028818,56.19,,,2026-01-01T17:50:53.276908
199000,4.197631,66.53,,,2026-01-01T17:53:52.118435
199000,4.197631,66.53,0.8000,2.2588,2026-01-01T17:53:52.242693
199500,4.265070,71.17,,,2026-01-01T17:56:56.624054
200000,4.234658,69.04,,,2026-01-01T17:59:55.131357
200000,4.234658,69.04,1.0000,2.1864,2026-01-01T17:59:55.237130
